District,Sum of visitors
Adilabad,782209.9048
Bhadradri Kothagudem ,12826148.87
Hyderabad,14121662
Jagtial ,3094526.873
Jangaon ,337301.873
Jayashankar Bhoopalpally,670285.8836
Jogulamba Gadwal ,2008290
Kamareddy ,8945.873016
Karimnagar ,85902.87302
Khammam,1421851.873
Komaram Bheem Asifabad,27600.87302
Mahabubabad ,161296.873
Mahbubnagar,2535255
Mancherial,277530.8836
Medak ,5460981.873
Medchal ,2836520.198
Mulugu,2056751.683
Nagarkurnool ,2093511
Nalgonda,149329.873
Narayanapet,1803304.163
Narayanpet,7715.883598
Nirmal,3825189.873
Nizamabad,54044.8836
Peddapalli,24992.87302
Rajanna Sircilla ,16841308.87
Ranga Reddy,2836520.198
Sangareddy ,4561571.873
Siddipet,2996275.873
Suryapet,2836520.198
Vikarabad,2836520.198
Wanaparthy ,307050.873
Warangal (Rural),361911.873
Warangal (Urban),1797680
Yadadri Bhongir,4497785.873
