District,Sum of visitors,Population
Adilabad,782210,708972
Bhadradri Kothagudem ,12826149,1069261
Hyderabad,14121662,3943323
Jagtial ,3094527,985417
Jangaon ,337302,566376
Jayashankar Bhoopalpally,670286,416763
Jogulamba Gadwal ,2008290,609990
Kamareddy ,8946,972625
Karimnagar ,85903,1005711
Khammam,1421852,1401639
Komaram Bheem Asifabad,27601,515812
Mahabubabad ,161297,774549
Mahbubnagar,2535255,919903
Mancherial,277531,807037
Medak ,5460982,767428
Medchal ,2836520,2440073
Mulugu,2056752,257744
Nagarkurnool ,2093511,893308
Nalgonda,149330,1618416
Narayanpet,1811020,566874
Nirmal,3825190,709418
Nizamabad,54045,1571022
Peddapalli,24993,795332
Rajanna Sircilla ,16841309,552037
Ranga Reddy,2836520,2446265
Sangareddy ,4561572,1527628
Siddipet,2996276,1012065
Suryapet,2836520,1099560
Vikarabad,2836520,927140
Wanaparthy ,307051,577758
Warangal (Rural),361912,718537
Warangal (Urban),1797680,1080858
Yadadri Bhongir,4497786,739448
