district,visitor,Population
Adilabad,7321607,708972
Bhadradri Kothagudem ,21600962,1069261
Hyderabad,84945858,3943323
Jagtial ,11303514,985417
Jangaon ,826282,566376
Jayashankar Bhoopalpally,19634117,416763
Jogulamba Gadwal ,6814285,609990
Kamareddy ,1773,972625
Karimnagar ,9462383,1005711
Khammam,9378315,1401639
Komaram Bheem Asifabad,92734,515812
Mahabubabad ,600697,774549
Mahbubnagar,17182400,919903
Mancherial,867252,807037
Medak ,20542639,767428
Mulugu,1820375,257744
Nagarkurnool ,7425116,893308
Nalgonda,6401933,1618416
Narayanpet,389255,566874
Nirmal,13315798,709418
Nizamabad,116152,1571022
Peddapalli,56977,795332
Rajanna Sircilla ,41763276,552037
Sangareddy ,10424510,1527628
Siddipet,5775285,1012065
Wanaparthy ,890078,577758
Warangal (Rural),819468,718537
Warangal (Urban),30735424,1080858
Yadadri Bhongir,26893080,739448
